start_lat,start_lng,nr_of_rides
41.892278,-87.612043,50947
41.880958,-87.616743,30750
41.90096039,-87.62377664,22074
41.911722,-87.626804,19311
41.8810317,-87.62408432,18802
41.91,-87.63,16609
41.86722596,-87.61535539,16462
41.926277,-87.630834,15613
41.89,-87.63,15371
41.886976,-87.612813,15241
41.89,-87.62,11530
41.89,-87.61,11424
41.9,-87.62,11068
41.872773,-87.623981,11038
41.9,-87.63,10889
41.963982,-87.638181,10468
41.94,-87.65,10125
41.88,-87.63,10038
41.866095,-87.607267,9862
41.865312,-87.617867,9766
41.92,-87.63,9605
41.94,-87.64,9461
41.88,-87.62,9448
41.88398406,-87.62468398,9315
41.915689,-87.6346,9246
41.918306,-87.636282,9210
41.867888,-87.623041,9173
41.88,-87.64,9076
41.891466,-87.626761,8959
41.912133,-87.634656,8920
41.89084704,-87.61861682,8671
41.88917683,-87.63850577,8580
41.95,-87.66,8362
41.886022,-87.624398,8250
41.93,-87.64,8055
41.93,-87.65,7985
41.890762,-87.631697,7929
41.932588,-87.636427,7837
41.884728,-87.619521,7725
41.89259212,-87.61728913,7581
41.903222,-87.634324,7579
41.87,-87.62,7495
41.940775,-87.639192,7190
41.92,-87.65,7188
41.893992,-87.629318,7120
41.882409,-87.639767,7033
41.90297,-87.6313,6968
41.889906,-87.634266,6964
41.94023192,-87.65294373,6906
41.89,-87.65,6899
41.92,-87.64,6892
41.8966172,-87.62857854,6806
41.89,-87.64,6703
41.91,-87.62,6685
41.88275197,-87.64119029,6633
41.95,-87.65,6611
41.8947953,-87.6343743,6590
41.898969,-87.629912,6574
41.92393131,-87.63582453,6509
41.88,-87.65,6390
41.94454,-87.654678,6339
41.945529,-87.646439,6038
41.89184737,-87.6205802,6007
41.93668845,-87.63682902,5959
41.88871604,-87.64444785,5864
41.867227,-87.625961,5829
41.888243,-87.63639,5765
41.949399,-87.654529,5691
41.93,-87.63,5672
41.93758232,-87.64409781,5622
41.886875,-87.62603,5517
41.921822,-87.64414,5497
41.89434514,-87.62279838,5441
41.906724,-87.63483,5424
41.86959,-87.623961,5420
41.98404412,-87.65228122,5403
41.925858,-87.638973,5394
41.890573,-87.622072,5381
41.87770796,-87.63532114,5266
41.89858665,-87.62191523,5254
41.87831661,-87.64098108,5247
41.929546,-87.643118,5247
41.9256163,-87.6536574,5157
41.94947274,-87.64645278,5118
41.886871,-87.648089,5094
41.884241,-87.629634,5029
41.88634906,-87.61751655,5019
41.949074,-87.648636,5016
41.878556,-87.624146,5003
41.928712,-87.653833,4981
41.85137517,-87.61883465,4953
41.948226,-87.6640712,4903
41.943739,-87.66402,4890
41.88602083,-87.63087606,4884
41.88185933,-87.64926374,4882
41.909668,-87.648128,4872
41.88462107,-87.62783423,4861
41.791478,-87.599861,4846
41.932418,-87.652705,4815
41.88338,-87.64117,4814